Year,Temperature increase in celsius
1880,-0.09
1881,0.05
1882,0
1883,-0.18
1884,-0.28
1885,-0.25
1886,-0.29
1887,-0.21
1888,-0.28
1889,0.14
1890,-0.32
1891,-0.23
1892,-0.27
1893,-0.22
1894,-0.27
1895,-0.33
1896,-0.23
1897,-0.14
1898,-0.68
1899,-0.33
1900,-0.04
1901,-0.03
1902,-0.22
1903,-0.25
1904,-0.58
1905,-0.4
1906,-0.18
1907,-0.32
1908,-0.58
1909,-0.51
1910,-0.51
1911,-0.59
1912,-0.31
1913,-0.45
1914,-0.18
1915,-0.08
1916,-0.28
1917,-0.63
1918,-0.31
1919,-0.23
1920,-0.08
1921,-0.25
1922,-0.11
1923,-0.33
1924,-0.08
1925,-0.24
1926,0.06
1927,-0.3
1928,-0.25
1929,-0.3
1930,-0.08
1931,-0.01
1932,-0.19
1933,-0.27
1934,-0.32
1935,-0.16
1936,-0.17
1937,-0.18
1938,0.03
1939,-0.17
1940,0.1
1941,0.18
1942,0.15
1943,-0.03
1944,0.34
1945,0.1
1946,0.02
1947,0.03
1948,-0.19
1949,-0.05
1950,-0.1
1951,-0.15
1952,-0.01
1953,0.19
1954,-0.09
1955,-0.3
1956,-0.18
1957,-0.05
1958,0.15
1959,0.21
1960,-0.18
1961,0.17
1962,0.16
1963,-0.02
1964,-0.16
1965,-0.09
1966,0.01
1967,0.02
1968,0.15
1969,0.12
1970,0.06
1971,-0.11
1972,0.03
1973,0.37
1974,-0.03
1975,0.12
1976,-0.22
1977,0.31
1978,0.23
1979,0.23
1980,0.28
1981,0.44
1982,0.1
1983,0.42
1984,0.3
1985,0.2
1986,0.3
1987,0.27
1988,0.53
1989,0.35
1990,0.76
1991,0.37
1992,0.44
1993,0.41
1994,0.38
1995,0.5
1996,0.35
1997,0.5
1998,0.68
1999,0.4
2000,0.55
2001,0.65
2002,0.82
2003,0.61
2004,0.7
2005,0.74
2006,0.64
2007,0.66
2008,0.74
2009,0.57
2010,0.87
2011,0.6
2012,0.51
2013,0.67
2014,0.77
2015,0.92
2016,1.31
2017,1.08
2018,0.89
2019,1.09
2020,1.17
